source,class,license,page
fs_151557,snore,CC0-1.0,https://freesound.org/people/Erik%20Pritzens/sounds/151557/
fs_236288,snore,CC0-1.0,https://freesound.org/people/mffm/sounds/236288/
fs_389683,snore,CC0-1.0,https://freesound.org/people/Shamewap/sounds/389683/
fs_233600,snore,CC0-1.0,https://freesound.org/people/SortsApostata/sounds/233600/
fs_413721,snore,CC0-1.0,https://freesound.org/people/jianchri/sounds/413721/
fs_490902,snore,CC0-1.0,https://freesound.org/people/JuandreSound/sounds/490902/
fs_234867,snore,CC0-1.0,https://freesound.org/people/mlsulli/sounds/234867/
fs_20545,snore,CC0-1.0,https://freesound.org/people/sirplus/sounds/20545/
fs_577384,snore,CC0-1.0,https://freesound.org/people/Podcapocalipsis/sounds/577384/
fs_25301,not_snore,CC0-1.0,https://freesound.org/people/freesound/sounds/25301/
fs_346932,not_snore,CC0-1.0,https://freesound.org/people/dav0r/sounds/346932/
fs_457972,not_snore,CC0-1.0,https://freesound.org/people/Fabrizio84/sounds/457972/
fs_800927,not_snore,CC0-1.0,https://freesound.org/people/LindaBarrans/sounds/800927/
fs_573729,not_snore,CC0-1.0,https://freesound.org/people/MWsfx/sounds/573729/
fs_444405,not_snore,CC0-1.0,https://freesound.org/people/MootMcnoodles/sounds/444405/
fs_336531,not_snore,CC0-1.0,https://freesound.org/people/giddster/sounds/336531/
fs_319103,not_snore,CC0-1.0,https://freesound.org/people/AbuNijmeh/sounds/319103/
fs_579571,not_snore,CC0-1.0,https://freesound.org/people/leonelmail/sounds/579571/
fs_150445,not_snore,CC0-1.0,https://freesound.org/people/SpliceSound/sounds/150445/
fs_369295,not_snore,CC0-1.0,https://freesound.org/people/georgisound/sounds/369295/
